nombre_tortuga,estacion,fecha,area_de_monitoreo,posicion_lat_long,hora_de_captura,especie,peso,sexo,l_r_c,l_c_c,a_r_c,a_c_c,p_c,l_p,l_t_c,marca_nombre,marca_izquierda,fecha_inicio,hora_inicio,hora_fin,total_horas,tipo_monitoreo,metodologia,latitud,longitud,unidad_utm_o_grados,hora_captura,material_marcas,marca_previa_izquierda,comentarios,especie_nombre_latino,sexo_correcto,lugar,geografía,numero_recaptura,año,mes,mes_nombre
Rama(1),Otono,2016-06-12T00:00:00Z,Pta. Blanca Laguna la Cruz,N28.78827W111.89821,0.48888888888888887,Chelonia mydas,39,hembra,25,71,52.6,63.3,26.8,25,13,GT 10114,GT 10113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,2,2016,6,jun
Johana,Otono,2016-06-12T00:00:00Z,Pta. Blanca Laguna la Cruz,N28.78827W111.89821,0.50277777777777777,Chelonia mydas,91,hembra,25,96.5,67.4,88.5,35.5,25,21,GT 10116,GT 10115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2016,6,jun
Rosy,Otono,2016-06-12T00:00:00Z,Pta. Blanca Laguna la Cruz,N28.78827W111.89821,0.51111111111111118,Chelonia mydas,33,hembra,25,70.4,50,65.5,25.6,25,15,GT 10118,GT 10117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2016,6,jun
Perla(2),Otono,2016-06-12T00:00:00Z,Pta. Blanca Laguna la Cruz,N28.78827W111.89821,0.52430555555555558,Chelonia mydas,43,hembra,25,76,56,71.5,26.2,25,11,GT 8043,GT 8044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,2,2016,6,jun
Yolanda,Otono,2016-06-12T00:00:00Z,Pta. Blanca Laguna la Cruz,N28.78827W111.89821,0.55555555555555558,Chelonia mydas,53,hembra,25,81.5,58.4,76,30.5,25,16,GT 10120,GT 10119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2016,6,jun
Robertito,Otono,2016-05-13T00:00:00Z,"""Y"" Laguna la Cruz",N28.78310W111.88219,0.5805555555555556,Chelonia mydas,45,hembra,26,77.2,52.4,72,26.6,26,13,GT 10121,GT 10122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2016,5,may
Lorenzo Noriega,Otono,2016-05-13T00:00:00Z,"""Y"" Laguna la Cruz",N28.78310W111.88219,0.63750000000000007,Chelonia mydas,31,macho,26,69.5,48.3,63.2,23,26,16.3,GT 10124,GT 10123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Macho,Laguna La Cruz,estuario,1,2016,5,may
Brown,Otono,2016-06-13T00:00:00Z,Campo Biologo ISPM,12R0372679-3138903,0.48958333333333331,Chelonia mydas,55,hembra,27,81.5,58.2,77,30,27,17,GT 10150,GT 10149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Isla San Pedro Mártir,isla,1,2016,6,jun
La Negra,Otono,2016-06-13T00:00:00Z,Campo Biologo ISPM,12R0372679-3138903,0.49305555555555558,Chelonia mydas,37,indefinido,27,70.5,50.9,65.5,25.1,27,12.5,GT 10126,GT 10125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,1,2016,6,jun
Gaviota,Otono,2016-06-13T00:00:00Z,Campo Biologo ISPM,12R0372679-3138903,0.49652777777777773,Chelonia mydas,31,indefinido,27,65.2,48.1,64.5,23,27,12,GT 10128,GT 10127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,1,2016,6,jun
Carmen,Otono,2016-06-13T00:00:00Z,Campo Biologo ISPM,12R0372679-3138903,0.52013888888888882,Chelonia mydas,30,indefinido,27,65,47,60.5,23.6,27,14,GT 10130,GT 10129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,1,2016,6,jun
Langosta,Otono,2016-06-13T00:00:00Z,Campo Biologo ISPM,12R0372679-3138903,0.52638888888888891,Chelonia mydas,25,indefinido,27,63.2,45.4,57.2,21.8,27,12,GT 10132,GT 10131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,1,2016,6,jun
Kenia,Otono,2016-06-13T00:00:00Z,Campo Biologo ISPM,12R0372679-3138903,0.53125,Chelonia mydas,25,indefinido,27,61.5,46,55.5,22.7,27,11.5,GT 10134,GT 10133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,1,2016,6,jun
Rodolfo el Reno,Invierno,2016-12-23T00:00:00Z,La Barra Valla ISPM,N28.37825 W112.31620,0.4465277777777778,Chelonia mydas,29,indefinido,28,66.5,47.9,59,22.2,28,14.5,GT 10135,GT 10136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,1,2016,12,dec
Campanita,Invierno,2016-12-23T00:00:00Z,La Barra Valla ISPM,N28.37859 W112.31670,0.44791666666666669,Chelonia mydas,31,indefinido,28,67.5,48.5,61,23,28,14,GT 10137,GT 10138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,1,2016,12,dec
Estrella,Invierno,2016-12-23T00:00:00Z,La Barra Valla ISPM,N28.37856 W112.31708,0.4513888888888889,Chelonia mydas,25,indefinido,28,62,46.2,59.5,21.5,28,11.5,GT 10139,GT 10140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,1,2016,12,dec
Cascanuez,Invierno,2016-12-23T00:00:00Z,La Barra Valla ISPM,N28.37851 W112.31747,0.45347222222222222,Chelonia mydas,45,indefinido,28,77.1,54.6,69,26.7,28,14,GT 10141,GT 10142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,1,2016,12,dec
Grinsh,Invierno,2016-12-23T00:00:00Z,La Ventana - ISPM,N28.38235 W112.32085,0.4680555555555555,Chelonia mydas,54,macho,28,76.6,55.8,73.9,27.2,28,27.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Macho,Isla San Pedro Mártir,isla,7,2016,12,dec
Patricia,Invierno,2017-01-22T00:00:00Z,Pta. Blanca Laguna la Cruz,N28.78872 W111.89845,0.43402777777777773,Chelonia mydas,39,hembra,1,73.2,52,67.3,25.2,1,14.5,GT 10146,GT 10145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2017,1,jan
Ashley,Invierno,2017-01-22T00:00:00Z,Pta. Blanca Laguna la Cruz,N28.78872 W111.89845,0.46875,Chelonia mydas,41,hembra,1,74,56.5,71.4,22.1,1,12.1,GT 10148,GT 10147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2017,1,jan
Pepe el Rey,Invierno,2017-03-15T00:00:00Z,Campo Biologo ISPM,N28.37214 W112.30145,0.52083333333333337,Chelonia mydas,22,indefinido,2,59,46.6,57.7,20,2,10,GT 10151,GT 10152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,1,2017,3,mar
Guadalupe,Invierno,2017-03-15T00:00:00Z,Campo Biologo ISPM,N28.37214 W112.30145,0.53125,Chelonia mydas,27,indefinido,2,63,47.3,57,22.2,2,14,GT 10153,GT 10154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,2,2017,3,mar
Alin,Primavera,2017-03-21T00:00:00Z,"""Y"" Laguna la Cruz",N28.78367 W11188235,0.375,Chelonia mydas,41,hembra,3,70,51.5,68,26.5,3,12.5,GT 10155,GT 10156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2017,3,mar
Remasamo,Primavera,2017-03-21T00:00:00Z,"""Y"" Laguna la Cruz",N28.78367 W11188235,0.38125000000000003,Chelonia mydas,34,hembra,3,65.3,49.5,66,24.2,3,12,GT 10157,GT 10158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2017,3,mar
Samy,Primavera,2017-03-21T00:00:00Z,"""Y"" Laguna la Cruz",N28.78367 W11188235,0.39583333333333331,Chelonia mydas,38,hembra,3,74.5,53.6,70,26.7,3,12.5,GT 10159,GT 10160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2017,3,mar
0ppi,Primavera,2017-03-21T00:00:00Z,"""Y"" Laguna la Cruz",N28.78367 W11188235,0.3979166666666667,Chelonia mydas,20,indefinido,3,57.8,43.3,54.5,17.5,3,9.5,GT 10161,GT 10162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Laguna La Cruz,estuario,1,2017,3,mar
Diva,Primavera,2017-03-21T00:00:00Z,"""Y"" Laguna la Cruz",N28.78367 W11188235,0.40972222222222227,Chelonia mydas,43,hembra,3,72.4,54,68.5,28.2,3,17,GT 10163,GT 10164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2017,3,mar
La Chifladora(2),Primavera,2017-03-21T00:00:00Z,"""Y"" Laguna la Cruz",N28.78367 W11188235,0.42499999999999999,Chelonia mydas,58,hembra,3,80.5,54.7,77.2,30.7,3,13.5,GT 8041,GT 8042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,2,2017,3,mar
Miranda(2),Primavera,2017-03-21T00:00:00Z,"""Y"" Laguna la Cruz",N28.78367 W11188235,0.44791666666666669,Chelonia mydas,41,hembra,3,72.6,53.9,70,25.9,3,11,GT 8187,GT 8186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,4,2017,3,mar
Moka(1),Primavera,2017-03-21T00:00:00Z,"""Y"" Laguna la Cruz",N28.78367 W11188235,0.48958333333333331,Chelonia mydas,38,hembra,3,70,51,69,23,3,13.5,GT 10165,GT 10166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2017,3,mar
Natasha,Primavera,2017-03-21T00:00:00Z,"""Y"" Laguna la Cruz",N28.78367 W11188235,0.4916666666666667,Chelonia mydas,87,hembra,3,90.6,65.4,82.3,34.5,3,20.5,GT 10167,GT 10168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2017,3,mar
Bob,Primavera,2017-03-21T00:00:00Z,"""Y"" Laguna la Cruz",N28.78367 W11188235,0.49791666666666662,Chelonia mydas,24,indefinido,3,58.9,42,56.2,21.5,3,10.5,GT 10169,GT 10170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Laguna La Cruz,estuario,1,2017,3,mar
Pancracia,Primavera,2017-03-21T00:00:00Z,"""Y"" Laguna la Cruz",N28.78367 W11188235,0.50347222222222221,Chelonia mydas,34,hembra,3,66,50.2,65.7,24,3,12.5,GT 10171,GT 10172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2017,3,mar
Oen,Primavera,2017-04-18T00:00:00Z,Pta. Blanca Laguna la Cruz,N28.78912 W111.89799,0.38263888888888892,Chelonia mydas,38,hembra,4,71,51.1,68.5,23.5,4,12.5,GT 10174,GT 10173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2017,4,apr
Akame,Primavera,2017-04-18T00:00:00Z,Pta. Blanca Laguna la Cruz,N28.78912 W111.89799,0.3979166666666667,Chelonia mydas,64,hembra,4,81.5,57.5,78.5,32,4,16.5,GT 10176,GT 10175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2017,4,apr
Angelica,Primavera,2017-04-18T00:00:00Z,Pta. Blanca Laguna la Cruz,N28.78912 W111.89799,0.44722222222222219,Chelonia mydas,41,hembra,4,72,55,71.5,26.5,4,11,GT 10178,GT 10177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2017,4,apr
Marrana.c.,Primavera,2017-04-18T00:00:00Z,Pta. Blanca Laguna la Cruz,N28.78912 W111.89799,0.46458333333333335,Chelonia mydas,31,hembra,4,65,47.4,61.5,24.7,4,13,GT 10180,GT 10179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,2,2017,4,apr
Erika,Primavera,2017-04-18T00:00:00Z,Pta. Blanca Laguna la Cruz,N28.78912 W111.89799,0.53819444444444442,Chelonia mydas,38,indefinido,4,69.5,50.4,66,25,4,17,GT 10182,GT 10181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Laguna La Cruz,estuario,1,2017,4,apr
Teresa(1),Primavera,2017-04-19T00:00:00Z,"""Y"" Laguna la Cruz",N28.78348 W111.88260,0.37708333333333338,Chelonia mydas,55,hembra,5,79,55,74.5,30.5,5,11,GT 10184,GT 10183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,2,2017,4,apr
La Cantinera,Primavera,2017-04-19T00:00:00Z,"""Y"" Laguna la Cruz",N28.78348 W111.88260,0.42152777777777778,Chelonia mydas,38,hembra,5,70.5,50,67,25.7,5,13.5,GT 10186,GT 10185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2017,4,apr
Blanca,Primavera,2017-04-19T00:00:00Z,"""Y"" Laguna la Cruz",N28.78348 W111.88260,0.43055555555555558,Chelonia mydas,48,hembra,5,77,54.2,69,27,5,14,GT 10188,GT 10187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2017,4,apr
Kendra,Primavera,2017-04-19T00:00:00Z,"""Y"" Laguna la Cruz",N28.78348 W111.88260,0.43402777777777773,Chelonia mydas,41,hembra,5,72.8,55.2,71,25.2,5,16,GT 10190,GT 10189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2017,4,apr
Sofia,Primavera,2017-04-19T00:00:00Z,"""Y"" Laguna la Cruz",N28.78348 W111.88260,0.43958333333333338,Chelonia mydas,36,hembra,5,69,53.8,65.5,24.5,5,13,GT 10192,GT 10191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2017,4,apr
Brown 2,Primavera,2017-04-19T00:00:00Z,"""Y"" Laguna la Cruz",N28.78348 W111.88260,0.47986111111111113,Chelonia mydas,44,hembra,5,76.2,53,70.8,26.5,5,14,GT 10194,GT 10193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2017,4,apr
Rama(2),Primavera,2017-04-19T00:00:00Z,"""Y"" Laguna la Cruz",N28.78348 W111.88260,0.4993055555555555,Chelonia mydas,41,hembra,5,71.4,52.3,66.5,27.5,5,13.3,GT 10114,GT 10113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,2,2017,4,apr
El Doc,Primavera,2017-04-26T00:00:00Z,Campo Biologo ISPM,N28.37233 W112.30129,0.45833333333333331,Chelonia mydas,27,indefinido,6,62,46.4,59,22.6,6,12,GT 10195,GT 10196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,1,2017,4,apr
Neo,Primavera,2017-02-06T00:00:00Z,"""Y"" Laguna la Cruz",N28.78283 W111.88387,0.52847222222222223,Chelonia mydas,32,indefinido,7,67,48.7,60.5,24.1,7,13,GT 10198,GT 10197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Laguna La Cruz,estuario,1,2017,2,feb
Alison(1),Primavera,2017-02-06T00:00:00Z,"""Y"" Laguna la Cruz",N28.78272 W111.88327,0.58402777777777781,Chelonia mydas,41,hembra,7,70,53.6,66,25.7,7,13,GT 10200,GT 10199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,2,2017,2,feb
Pedro,Primavera,2017-02-06T00:00:00Z,"""Y"" Laguna la Cruz",N28.78272 W111.88327,0.59930555555555554,Chelonia mydas,15,indefinido,7,51.5,40.3,49.5,17.5,7,7,GT 10802,GT 10801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Laguna La Cruz,estuario,1,2017,2,feb
Esme(2),Primavera,2017-02-06T00:00:00Z,"""Y"" Laguna la Cruz",N28.78272 W111.88327,0.61805555555555558,Chelonia mydas,47,hembra,7,74.5,53.2,68.4,27,7,19.5,GT 8184,GT 8185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2017,2,feb
Katy,Primavera,2017-04-06T00:00:00Z,"""Y"" Laguna la Cruz",N28.78343 W111.88123,0.53611111111111109,Chelonia mydas,70,hembra,8,57.5,63.5,81,31.7,8,19,GT 10804,GT 10803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2017,4,apr
Dora,Primavera,2017-04-06T00:00:00Z,"""Y"" Laguna la Cruz",N28.78343 W111.88123,0.55555555555555558,Chelonia mydas,60,hembra,8,82.9,59.6,79.8,30,8,18,GT 10806,GT 10805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2017,4,apr
Liz,Primavera,2017-05-19T00:00:00Z,"""Y"" Laguna la Cruz",N28.93369 W111.88898,0.4236111111111111,Chelonia mydas,38,hembra,9,70,52.5,68,25.2,9,15.6,GT 10808,GT 10807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2017,5,may
La Invencible(1),Primavera,2017-05-19T00:00:00Z,"""Y"" Laguna la Cruz",N28.93369 W111.88898,0.47222222222222227,Chelonia mydas,29,hembra,9,63.7,48.5,62.9,22,9,9.6,GT 10810,GT 10809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2017,5,may
Ana Gloria,Primavera,2017-05-19T00:00:00Z,"""Y"" Laguna la Cruz",N28.93369 W111.88898,0.53472222222222221,Chelonia mydas,50,hembra,9,73.1,78,54.5,72.6,9,13,GT 10812,gt 10811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2017,5,may
Naty(1),Primavera,2017-05-19T00:00:00Z,"""Y"" Laguna la Cruz",N28.93369 W111.88898,0.54166666666666663,Chelonia mydas,36,indefinido,9,69.9,51.8,68,25,9,11.5,GT 10814,GT 10813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Laguna La Cruz,estuario,1,2017,5,may
Reyna,Primavera,2017-05-19T00:00:00Z,"""Y"" Laguna la Cruz",N28.93369 W111.88898,0.55555555555555558,Chelonia mydas,16,indefinido,9,53.9,39.4,51.1,20,9,6.3,GT 10816,GT 10815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Laguna La Cruz,estuario,1,2017,5,may
Ami(2),Primavera,2017-05-19T00:00:00Z,"""Y"" Laguna la Cruz",N28.93369 W111.88898,0.57361111111111118,Chelonia mydas,42,hembra,9,74.2,53.3,69.8,26,9,15.5,GT 5216,GT 5215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,2,2017,5,may
Mc Kenna,Primavera,2017-06-17T00:00:00Z,Isla Tiburon,NA,0.34375,Chelonia mydas,20,indefinido,10,60,40.1,55,26.3,10,8,GT 10818,GT 10817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Isla Tiburon,isla,1,2017,6,jun
Denisse,Primavera,2017-06-17T00:00:00Z,Pta Banca Laguna la Cruz,N28.46908 W11216409,0.44861111111111113,Chelonia mydas,36,hembra,11,72.5,50.9,68.3,25.1,11,13,GT 10820,GT 10819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,NA,NA,1,2017,6,jun
Ana Laura,Primavera,2017-06-17T00:00:00Z,"""Y"" Laguna la Cruz",N28.47124 W11153132,0.4680555555555555,Chelonia mydas,50,hembra,11,78,57.2,71.5,28.3,11,18.2,GT 10822,10821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2017,6,jun
Nidia Luna,Primavera,2017-06-17T00:00:00Z,"""Y"" Laguna la Cruz",N28.47124 W11153132,0.48194444444444445,Chelonia mydas,33,hembra,11,69.5,54.5,68.5,22.4,11,11.5,GT 10824,GT 10823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2017,6,jun
Alexita,Primavera,2017-06-17T00:00:00Z,"""Y"" Laguna la Cruz",N28.47124 W11153132,0.4916666666666667,Chelonia mydas,15,indefinido,11,50,38,48.8,19.2,11,9,GT 10826,GT 10825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Laguna La Cruz,estuario,1,2017,6,jun
Como Yo(2),Primavera,2017-06-17T00:00:00Z,"""Y"" Laguna la Cruz",N28.47124 W11153132,0.53263888888888888,Chelonia mydas,38,hembra,11,72.2,49.6,67.5,26.5,11,16,GT 8110,GT 8111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,2,2017,6,jun
Gladys(1),Primavera,2017-06-17T00:00:00Z,"""Y"" Laguna la Cruz",N28.47124 W11153132,0.54513888888888895,Chelonia mydas,34,hembra,11,67,51,62,22.6,11,12.5,GT 10828,GT 10827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,2,2017,6,jun
Yayoi,Primavera,2017-06-17T00:00:00Z,"""Y"" Laguna la Cruz",N28.47124 W11153132,0.55902777777777779,Chelonia mydas,53,hembra,11,83.4,77.3,79.4,26,11,21,GT 10830,GT 10829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2017,6,jun
Haydee 40,Primavera,2017-06-17T00:00:00Z,"""Y"" Laguna la Cruz",N28.47124 W11153132,0.57500000000000007,Chelonia mydas,42,hembra,11,74.5,52.7,68.6,28,11,14.7,GT 10832,GT 10831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2017,6,jun
Mariblas(2),Verano,2017-06-30T00:00:00Z,"""Y"" Laguna la Cruz",N28.78294 W111.88216,0.375,Chelonia mydas,35,indefinido,12,70,51.5,67,24.7,12,13.5,GT 10103,GT 10104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Laguna La Cruz,estuario,2,2017,6,jun
Teresa(2),Verano,2017-06-30T00:00:00Z,"""Y"" Laguna la Cruz",N28.78294 W111.88216,0.37847222222222227,Chelonia mydas,55,hembra,12,79,57.1,75.4,30.7,12,12.5,GT 10184,GT 10183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,2,2017,6,jun
La Brava(1),Verano,2017-06-30T00:00:00Z,"""Y"" Laguna la Cruz",N28.78294 W111.88216,0.3833333333333333,Chelonia mydas,40,indefinido,12,73.1,53.3,67.2,24.9,12,14,GT 10834,GT 10833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Laguna La Cruz,estuario,2,2017,6,jun
Tita,Verano,2017-06-30T00:00:00Z,"""Y"" Laguna la Cruz",N28.78294 W111.88216,0.38541666666666669,Chelonia mydas,34,indefinido,12,67,50.5,64.3,23.2,12,14.5,GT 10836,GT 10835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Laguna La Cruz,estuario,1,2017,6,jun
Elvia(2),Verano,2017-06-30T00:00:00Z,"""Y"" Laguna la Cruz",N28.78294 W111.88216,0.39374999999999999,Chelonia mydas,43,hembra,12,73.3,52.2,68,26.9,12,14.1,GT 5297,GT 5298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,3,2017,6,jun
Kukita,Verano,2017-06-30T00:00:00Z,"""Y"" Laguna la Cruz",N28.78294 W111.88216,0.39583333333333331,Chelonia mydas,22,indefinido,12,57.3,44.1,54.4,21.8,12,11.5,GT 10838,GT 10837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Laguna La Cruz,estuario,1,2017,6,jun
