fecha,nombre_tortuga,marca_nombre,especie_nombre_latino,numero_recaptura,a_c_c,l_c_c,lugar,geografía,sexo_correcto
2015-06-25T00:00:00Z,Lola,GT 5249,Chelonia mydas,1,68,70.2,Laguna La Cruz,estuario,Hembra
2015-06-25T00:00:00Z,Ofidia B,GT 5250,Chelonia mydas,1,62.8,66.4,Laguna La Cruz,estuario,Indefinido
2015-06-25T00:00:00Z,Samantha,GT 5253,Chelonia mydas,1,69.5,75.5,Laguna La Cruz,estuario,Hembra
2015-06-25T00:00:00Z,Cinthia,GT 5254,Chelonia mydas,1,86,92,Laguna La Cruz,estuario,Hembra
2015-06-25T00:00:00Z,Eleodes,GT 5257,Chelonia mydas,1,80.2,88.5,Laguna La Cruz,estuario,Macho
2015-06-25T00:00:00Z,Chiquilina,GT 5259,Chelonia mydas,2,62,65.5,Laguna La Cruz,estuario,Hembra
2015-06-25T00:00:00Z,¡¡ ZZ !,GT 55260,Chelonia mydas,1,74,81.2,Laguna La Cruz,estuario,Hembra
2015-06-25T00:00:00Z,Leah(2),GT 3845,Chelonia mydas,3,58.7,59.1,Laguna La Cruz,estuario,Indefinido
2015-06-25T00:00:00Z,Milka,GT 5262,Chelonia mydas,1,69.6,71.9,Laguna La Cruz,estuario,Hembra
2015-07-23T00:00:00Z,Sara,GT 5276,Chelonia mydas,1,57.5,59,Laguna La Cruz,estuario,Indefinido
2015-07-23T00:00:00Z,Eva,GT 5279,Chelonia mydas,1,65,65.5,Laguna La Cruz,estuario,Indefinido
2015-07-23T00:00:00Z,Evangelina,GT 5281,Chelonia mydas,1,79,80,Laguna La Cruz,estuario,Indefinido
2015-07-23T00:00:00Z,Maty,GT 5283,Chelonia mydas,1,74,79,Laguna La Cruz,estuario,Indefinido
2015-07-23T00:00:00Z,Jenny,GT 5285,Chelonia mydas,1,72,72.5,Laguna La Cruz,estuario,Indefinido
2015-07-23T00:00:00Z,Laura(1),GT 5287,Chelonia mydas,2,85,93,Laguna La Cruz,estuario,Hembra
2015-07-23T00:00:00Z,Lalo(1),GT 5289,Chelonia mydas,2,61.8,66.3,Laguna La Cruz,estuario,Indefinido
2015-07-23T00:00:00Z,Martha,GT 5291,Chelonia mydas,1,62.2,62.7,Laguna La Cruz,estuario,Indefinido
2015-07-23T00:00:00Z,Caroline,GT 5275,Chelonia mydas,1,67.5,68,Laguna La Cruz,estuario,Hembra
